term,cnf_words,note
courgette,zucchini,British/French term - CNF uses the North American name
capsicum,pepper sweet,Australian/British/Indian term for sweet bell pepper
egg plant,eggplant,CNF writes it as one word
prawns,shrimp,British/Australian term - CNF files all of these as shrimp
maize,corn,British/African term - CNF uses the North American name
rocket,arugula,British term - CNF uses the North American name
groundnut,peanut,West African/Indian/British term
groundnut oil,peanut oil,West African/Indian/British term
beetroot,beets,British term - CNF uses the North American plural
minced beef,beef ground,British term for ground beef
coriander leaves,coriander,CNF files the herb as Coriander (cilantro) with no leaves
heavy cream,cream whipping,US term - CNF classifies by milk fat as whipping cream
double cream,cream whipping,British term - nearest CNF equivalent by milk fat
confectioners sugar,sugar icing,US term - CNF uses the Canadian name icing sugar
caster sugar,sugar granulated white,British term for finely ground white sugar
mangetout,peas edible pod,British/French term - CNF says Peas edible-podded (snow peas)
string beans,beans snap green,Regional US term - CNF files these as snap beans
wholemeal,whole wheat,British term - CNF uses the North American name
bicarbonate of soda,baking soda,British term - CNF says Leavening agent baking soda
