name,brand,kcal_per_mL,protein_per_mL,fat_per_mL,carbohydrate_per_mL,fibre_per_mL,sodium_per_mL,potassium_per_mL,calcium_per_mL,iron_per_mL,magnesium_per_mL,phosphorus_per_mL,free_water_per_mL,vitamin_a_rae_ug_per_mL,retinol_ug_per_mL,beta_carotene_ug_per_mL,vitamin_d_ug_per_mL,vitamin_e_mg_per_mL,vitamin_c_mg_per_mL,thiamine_mg_per_mL,riboflavin_mg_per_mL,vitamin_b6_mg_per_mL,pantothenic_acid_mg_per_mL,niacin_preformed_mg_per_mL,zinc_mg_per_mL,copper_mg_per_mL,manganese_mg_per_mL,folate_dfe_ug_per_mL,vitamin_b12_ug_per_mL,selenium_ug_per_mL,source,verified
Isosource Fibre 1.5,Nestlé Health Science,1.5,0.070,0.06,0.18,0.015,1.3,2.4,1.2,0.018,0.42,1.2,0.766,1.5,0.75,1.5,0.0165,0.0198,0.3,0.0028,0.00332,0.0048,0.0188,0.0216,0.02,0.002,0.004,0.938,0.0072,0.072,2026_nestle-product-guide.pdf p.25,2026-07-19
Isosource Fibre 1.2,Nestlé Health Science,1.2,0.054,0.04,0.164,0.015,1.12,1.92,0.96,0.014,0.336,0.96,0.805,1.28,0.64,1.28,0.012,0.0162,0.24,0.002,0.0024,0.0032,0.0128,0.016,0.016,0.0016,0.00372,0.68,0.0056,0.064,2026_nestle-product-guide.pdf p.23,2026-07-19
Isosource Fibre 1.0 HP,Nestlé Health Science,1.0,0.064,0.034,0.124,0.015,0.88,1.6,0.8,0.016,0.28,0.8,0.840,1.04,0.522,1.04,0.01,0.0135,0.2,0.0016,0.002,0.0028,0.012,0.012,0.016,0.0016,0.0036,0.578,0.0048,0.06,2026_nestle-product-guide.pdf p.21,2026-07-19
Nepro,Abbott Nutrition,1.8,0.081,0.097,0.16,0.025,1.055,0.949,1.055,0.014,0.169,0.717,0.727,0.759,0.759,,0.016,0.0308,0.095,0.0025,0.0021,0.0093,0.0095,0.034,0.013,0.0018,0.0025,1.29,0.0051,0.058,2024_abbott-adult-product-guide.pdf p.22,2026-07-19
Peptamen AF 1.2,Nestlé Health Science,1.2,0.076,0.054,0.112,0.005,0.72,1.8,0.8,0.02,0.34,0.8,0.810,1.56,0.96,1.2,0.016,0.0216,0.14,0.0024,0.0024,0.0028,0.006,0.0264,0.0176,0.0024,0.0032,0.408,0.012,0.08,2026_nestle-product-guide.pdf p.32,2026-07-19
Peptamen Intense 1.0 HP,Nestlé Health Science,1.0,0.092,0.038,0.076,0.004,0.7,1.5,0.68,0.016,0.3,0.68,0.840,1.29,0.798,0.984,0.0132,0.0162,0.12,0.002,0.002,0.0024,0.0048,0.022,0.01,0.002,0.0028,0.34,0.008,0.08,2026_nestle-product-guide.pdf p.35,2026-07-19
Resource 2.0,Nestlé Health Science,2.0,0.084,0.09,0.22,,0.72,1.77,1.05,0.019,0.44,1.05,0.690,1.27,1.27,,0.0211,0.0418,0.38,0.00127,0.00169,0.0019,0.00549,0.0169,0.016,0.00211,0.00253,0.43,0.00316,0.0591,2026_nestle-product-guide.pdf p.37,2026-07-19
Peptamen 1.5,Nestlé Health Science,1.5,0.068,0.056,0.188,,0.9,2.1,1.0,0.024,0.42,1.0,0.770,1.95,1.2,1.5,0.02,0.0203,0.18,0.0028,0.0032,0.0036,0.0072,0.0332,0.022,0.0032,0.0044,0.544,0.012,0.1,2026_nestle-product-guide.pdf p.33,2026-07-19
Compleat 1.06,Nestlé Health Science,1.06,0.048,0.04,0.13,0.008,1.0,1.56,0.88,0.013,0.3,0.84,0.830,1.08,0.6,0.96,0.014,0.0144,0.24,0.0016,0.002,0.0028,0.012,0.0144,0.02,0.0016,0.0032,0.34,0.008,0.06,2026_nestle-product-guide.pdf p.18,2026-07-19
Compleat 1.5,Nestlé Health Science,1.5,0.072,0.072,0.15,0.012,1.32,2.4,1.2,0.018,0.42,1.2,0.760,1.8,0.92,1.76,0.02,0.0108,0.3,0.0032,0.0032,0.004,0.016,0.02,0.02,0.002,0.004,0.816,0.0072,0.064,2026_nestle-product-guide.pdf p.19,2026-07-19
Compleat Organic Blends 1.25,Nestlé Health Science,1.25,0.063,0.05,0.137,0.02,1.27,1.67,1.1,0.017,0.37,1.1,0.810,1.27,0.4,10.4,0.0167,0.009,0.167,0.002,0.00167,0.00333,0.00667,0.0167,0.0167,0.00167,0.00333,0.34,0.00667,0.0667,2026_nestle-product-guide.pdf p.20,2026-07-19
Isosource 1.2,Nestlé Health Science,1.2,0.054,0.04,0.156,,1.12,1.92,0.96,0.014,0.34,0.96,0.810,1.27,0.636,1.27,0.013,0.0162,0.24,0.00252,0.0024,0.0032,0.014,0.016,0.016,0.0016,0.0036,0.68,0.006,0.064,2026_nestle-product-guide.pdf p.22,2026-07-19
Isosource 1.5,Nestlé Health Science,1.5,0.068,0.06,0.176,,1.3,2.4,1.2,0.018,0.42,1.2,0.765,1.56,0.78,1.56,0.016,0.0216,0.3,0.0032,0.0032,0.004,0.016,0.02,0.02,0.002,0.0048,0.816,0.0072,0.08,2026_nestle-product-guide.pdf p.24,2026-07-19
Isosource 2.0,Nestlé Health Science,2.0,0.084,0.092,0.216,,1.5,2.1,1.6,0.024,0.56,1.48,0.690,2.08,1.04,2.08,0.02,0.027,0.4,0.0032,0.004,0.0052,0.02,0.024,0.024,0.0024,0.006,1.09,0.009,0.1,2026_nestle-product-guide.pdf p.26,2026-07-19
NovaSource Renal,Nestlé Health Science,2.0,0.092,0.1,0.182,,0.93,0.97,0.84,0.018,0.21,0.84,0.710,0.991,0.465,1.05,0.0105,0.019,0.0928,0.00135,0.0038,0.00844,0.0105,0.0203,0.0219,0.00211,0.00422,1.72,0.00633,0.11,2026_nestle-product-guide.pdf p.28,2026-07-19
Peptamen 1.0,Nestlé Health Science,1.0,0.040,0.04,0.128,,0.48,1.6,0.8,0.016,0.3,0.7,0.850,1.29,0.792,0.996,0.0133,0.0135,0.12,0.002,0.002,0.0024,0.0048,0.022,0.014,0.002,0.0028,0.34,0.008,0.08,2026_nestle-product-guide.pdf p.30,2026-07-19
Peptamen 1.0 with Prebio1,Nestlé Health Science,1.0,0.040,0.04,0.128,0.004,0.48,1.6,0.8,0.016,0.3,0.7,0.850,1.29,0.792,0.996,0.0133,0.0135,0.12,0.002,0.002,0.0024,0.0048,0.022,0.014,0.002,0.0028,0.34,0.008,0.08,2026_nestle-product-guide.pdf p.31,2026-07-19
Peptamen 1.5 with Prebio1,Nestlé Health Science,1.5,0.068,0.056,0.19,0.006,0.88,2.08,1.0,0.024,0.42,1.0,0.770,1.95,1.2,1.5,0.02,0.0203,0.18,0.0032,0.0032,0.0036,0.0076,0.0332,0.022,0.0032,0.0044,0.544,0.012,0.1,2026_nestle-product-guide.pdf p.34,2026-07-19
Resource Diabetic 1.05,Nestlé Health Science,1.05,0.064,0.048,0.096,0.012,0.96,1.4,0.93,0.011,0.21,0.93,0.842,1.08,0.54,1.08,0.0053,0.0135,0.2,0.0016,0.0018,0.0032,0.0112,0.0212,0.012,0.0012,0.00272,0.714,0.0072,0.052,2026_nestle-product-guide.pdf p.36,2026-07-19
Tolerex,Nestlé Health Science,1.0,0.021,0.002,0.227,,0.507,1.167,0.557,0.01,0.222,0.557,0.840,0.833,0.833,,0.0112,0.0075,0.0667,0.000833,0.000933,0.0011,0.00557,0.0111,0.00833,0.0011,0.0011,0.38,0.00333,0.04,2026_nestle-product-guide.pdf p.40,2026-07-19
Vivonex Plus,Nestlé Health Science,1.0,0.040,0.007,0.19,,0.667,0.98,0.557,0.01,0.222,0.557,0.850,0.604,0.604,,0.00556,0.00975,0.0667,0.00133,0.0019,0.00223,0.0111,0.0222,0.0123,0.001,0.0011,0.737,0.00667,0.04,2026_nestle-product-guide.pdf p.41,2026-07-19
