ndb_number,fdc_id,description,usda_category,why_relevant,confidence_not_in_cnf,nearest_cnf_match
1227,172222,"Cheese, dry white, queso seco",Dairy and Egg Products,"CNF has three named Mexican cheeses (anejo/asadero/chihuahua) but not this one; relevant to Latin American Canadian kitchens",high,"Cheese, Mexican, queso anejo [102]"
1228,172223,"Cheese, fresh, queso fresco",Dairy and Egg Products,"Same gap as queso seco -- queso fresco is a distinct, very commonly used fresh cheese, not a variant of anejo",high,"Cheese, Mexican, queso anejo [102]"
1229,172224,"Cheese, white, queso blanco",Dairy and Egg Products,"Same gap -- queso blanco is a distinct fresh white cheese used in many Latin American dishes",high,"Cheese, Mexican, queso anejo [102]"
1267,170898,"Cheese, mexican, queso cotija",Dairy and Egg Products,"Cotija is a distinct aged, crumbly cheese (often called 'Mexican parmesan'); closest CNF entry (anejo) is a different cheese",medium,"Cheese, Mexican, queso anejo [102]"
9129,173040,"Grapes, muscadine, raw",Fruits and Fruit Juices,"Genuinely absent from CNF (zero token overlap); a real US-native grape variety, but rarely available in Canada -- low practical relevance",high,""
9450,167790,"Naranjilla (lulo) pulp, frozen, unsweetened",Fruits and Fruit Juices,"South/Central American fruit used in some Latin-Canadian households as juice/puree; CNF has no equivalent (nearest match is an unrelated frozen berry)",medium,"Blackberry, frozen, unsweetened [1517] (not a real match -- different fruit)"
9449,167789,"Nance, frozen, unsweetened",Fruits and Fruit Juices,"Niche Central American/Caribbean fruit; genuinely absent from CNF, but very limited availability in Canada",medium,"Blackberry, frozen, unsweetened [1517] (not a real match -- different fruit)"
11258,168432,"Mountain yam, hawaii, raw",Vegetables and Vegetable Products,"A distinct yam species/variety (Dioscorea alata, Hawaiian/Filipino use) from CNF's generic 'Yam, raw' entry; relevant to Filipino-Canadian and Pacific Islander kitchens",medium,"Yam, raw [2283] (different species)"
11259,168433,"Mountain yam, hawaii, cooked, steamed, without salt",Vegetables and Vegetable Products,"Same species gap as the raw entry, prepared form",medium,"Yam, raw [2283] (different species)"
11927,168552,"Mountain yam, hawaii, cooked, steamed, with salt",Vegetables and Vegetable Products,"Same species gap as the raw entry, salted prepared form",medium,"Yam, raw [2283] (different species)"
11928,168553,"Tree fern, cooked, with salt",Vegetables and Vegetable Products,"Zero token overlap with any CNF entry; a fiddlehead-like vegetable used in Filipino/Pacific Islander cooking (pako/paco)",high,""
11563,170464,"Tree fern, cooked, without salt",Vegetables and Vegetable Products,"Same as above, unsalted form",high,""
